1100,1000,0000,0001,0011,0111,1111,1110,1101,1010,0100,0010,0101,1011,1001,0110,label
19014,16487,6007,16487,18911,15307,16857,15307,14420,10519,15516,15619,10622,14523,18043,18126,1
11634,10125,3708,10125,11543,9346,10283,9346,8803,6411,9497,9588,6502,8894,11006,11090,0
11644,10111,3706,10111,11538,9364,10351,9364,8794,6413,9474,9580,6519,8900,11007,11073,0
11629,10106,3699,10106,11529,9367,10375,9367,8808,6404,9461,9561,6504,8908,10984,11069,0
19036,16499,5991,16499,18919,15341,16914,15341,14420,10494,15529,15646,10611,14537,18066,18114,1
11666,10118,3716,10118,11556,9342,10305,9342,8773,6383,9468,9578,6493,8883,11016,11096,0
18984,16513,5992,16513,18883,15282,16885,15282,14390,10532,15550,15651,10633,14491,18021,18091,1
11621,10121,3694,10121,11525,9363,10332,9363,8821,6405,9465,9561,6501,8917,10965,11078,0
18978,16493,6019,16493,18881,15295,16808,15295,14423,10527,15542,15639,10624,14520,18027,18105,1
11634,10100,3696,10100,11536,9377,10325,9377,8822,6419,9480,9578,6517,8920,11014,11078,0
11635,10111,3704,10111,11542,9354,10315,9354,8811,6408,9481,9574,6501,8904,11005,11091,0
18959,16485,6017,16485,18869,15327,16818,15327,14456,10532,15517,15607,10622,14546,17991,18087,1
19011,16511,5979,16511,18895,15288,16835,15288,14416,10506,15499,15615,10622,14532,17999,18138,1
18988,16519,5992,16519,18886,15282,16892,15282,14395,10506,15528,15630,10608,14497,17997,18100,1
11612,10117,3711,10117,11510,9380,10360,9380,8801,6406,9481,9583,6508,8903,10976,11032,0
11645,10104,3693,10104,11537,9352,10367,9352,8794,6414,9468,9576,6522,8902,11009,11086,0
11644,10106,3702,10106,11532,9352,10366,9352,8777,6401,9481,9593,6513,8889,11019,11068,0
18938,16493,5991,16493,18878,15305,16866,15305,14421,10567,15566,15626,10627,14481,18011,18053,1
18938,16500,5994,16500,18863,15300,16885,15300,14383,10570,15576,15651,10645,14458,18014,18020,1
19012,16539,5993,16539,18880,15303,16878,15303,14402,10471,15515,15647,10603,14534,17988,18110,1
11646,10116,3685,10116,11551,9350,10298,9350,8792,6427,9491,9586,6522,8887,11021,11087,0
11647,10134,3703,10134,11540,9389,10395,9389,8799,6402,9474,9581,6509,8906,10987,11056,0
18975,16513,5976,16513,18890,15281,16836,15281,14412,10551,15528,15613,10636,14497,17990,18105,1
18971,16499,5988,16499,18883,15332,16877,15332,14419,10541,15557,15645,10629,14507,18029,18057,1
11636,10086,3714,10086,11562,9375,10353,9375,8822,6424,9480,9554,6498,8896,11030,11082,0
18984,16497,5986,16497,18889,15289,16860,15289,14405,10522,15559,15654,10617,14500,18046,18099,1
11625,10114,3708,10114,11541,9355,10381,9355,8788,6454,9508,9592,6538,8872,11019,11057,0
11624,10100,3688,10100,11541,9381,10313,9381,8834,6435,9486,9569,6518,8917,11010,11076,0
11652,10117,3699,10117,11553,9357,10308,9357,8800,6407,9483,9582,6506,8899,11018,11094,0
11649,10131,3707,10131,11542,9384,10376,9384,8804,6387,9484,9591,6494,8911,11002,11068,0
11662,10108,3711,10108,11570,9401,10383,9401,8829,6408,9460,9552,6500,8921,11014,11089,0
18952,16504,5998,16504,18889,15275,16870,15275,14430,10552,15565,15628,10615,14493,18013,18106,1
11625,10101,3712,10101,11540,9359,10403,9359,8805,6419,9476,9561,6504,8890,11000,11070,0
11627,10093,3710,10093,11545,9364,10329,9364,8824,6423,9472,9554,6505,8906,11006,11086,0
18973,16490,6006,16490,18872,15277,16863,15277,14396,10506,15540,15641,10607,14497,18023,18091,1
18924,16499,6012,16499,18855,15288,16798,15288,14438,10558,15555,15624,10627,14507,17980,18073,1
18983,16510,5994,16510,18891,15252,16899,15252,14422,10532,15515,15607,10624,14514,17988,18152,1
